FundName,Capital Call,Capital Call Processed Date,Distribution,Distribution Processed Date,Valuation,Valuation Processed Date
Westminster Fund VI LP,,,8/31/2023,10/9/2023,Q1 2023,8/21/2023
SWVP Fund 23,8/8/2023,8/17/2023,,,Q2 2023,8/17/2023
SWVP Fund 21,,,,,Q2 2023,8/21/2023
Pacific Street Fund V,,,,,Q1 2023,
Pacific Street Fund IV,,,,,Q1 2023,
MREP VIII,,,,,Q2 2023,8/31/2023
MREP VII,,,,,Q2 2023,8/31/2023
MREP VI,,,,,Q2 2023,8/31/2023
MREP V,,,,,Q4 2022,
MREP IX,,,6/8/2023,7/21/2023,Q2 2023,8/31/2023
MREP IV-BT,,,,,Q4 2022,
MREP IV-AT,,,,,Q4 2022,
"Aberdeen Venture Partners VIII, L.P.",,,,,Q2 2023,9/5/2023
"Aberdeen U.S. Private Equity III, L.P.",,,,,Q2 2023,9/14/2023
"Aberdeen Next Generation Partners V, L.P.",,,,,Q1 2023,
Impact Engine Private Equity Fund II LP,,,,,Q2 2023,9/22/2023
"HRJ Capital VC VI (International), L.P.",,,,,Q1 2023,8/7/2023
Covenant Apartment Fund XI,8/29/2023,9/19/2023,,,Q3 2023,10/31/2023
Covenant Apartment Fund X,7/27/2023,,9/30/2023,10/31/2023,Q3 2023,9/21/2023
Covenant Apartment Fund IX,,,9/30/2023,10/31/2023,Q2 2023,8/7/2023
"Capital Dynamics Champion Ventures VI, L.P.",,,,,Q2 2023,11/1/2023
Avenue Global Dislocation Opportunities Fund,5/4/2023,,7/11/2023 7:18,,,
"Accolade Partners VIII-H, L.P.",,,,,Q2 2023,9/21/2023
"Accolade Partners VIII-G, L.P.",10/13/2023,10/9/2023,,,Q2 2023,9/21/2023
"Accolade Partners VIII, L.P.",7/14/2023,,,,Q1 2023,8/16/2023
"Accolade Partners IX, L.P.",11/7/2023,10/31/2023,,,Q2 2023,10/3/2023
"Accolade Partners Growth III, L.P.",11/3/2023,10/27/2023,,,Q1 2023,9/21/2023
Southwest Value Partners Fund 20,,,9/12/2023,9/13/2023,Q2 2023,9/21/2023
Southwest Value Partners Fund 23-B,10/12/2023,10/13/2023,,,,
Twin Bridge Capital,10/12/2023,10/13/2023,,,Q2 2023,9/21/2023
"Accolade Partners VII, L.P.",11/8/2023,10/31/2023,,,Q2 2023,10/9/2023
"Accolade Partners V, L.P.",,,,,Q2 2023,10/9/2023
"Accolade Partners Venture I, L.P.",10/20/2023,10/13/2023,,,,
Grubb,,,,,Q2 2023,10/27/2023
"Capital Dynamics CV VI, L.P.",,,,,Q2 2023,11/02/2023
"Deerpath Capital Advantage (US) VI, LP",11/03/2023,11/06/2023,,,,
